snapshot_no,time,vehicle_id,x,y
12,32.0,27,645427.5,5493806.29
12,32.0,28,646152.69,5493747.98
12,32.0,29,646321.89,5493530.79
12,32.0,3,646330.42,5493500.37
12,32.0,30,645546.46,5493764.94
12,32.0,31,645130.84,5493985.01
12,32.0,32,644857.23,5493490.74
12,32.0,33,646568.48,5492756.97
12,32.0,34,646286.8,5493823.93
12,32.0,35,646304.81,5493559.84
12,32.0,36,645063.97,5493532.01
12,32.0,37,646170.1,5493359.5
12,32.0,38,645736.32,5493217.87
12,32.0,39,645770.63,5493630.08
12,32.0,4,646153.66,5493383.95
12,32.0,40,645796.95,5493653.3
12,32.0,41,645740.56,5493461.83
12,32.0,42,645640.8,5493471.17
12,32.0,43,645058.88,5493749.88
12,32.0,44,646319.53,5493701.97
12,32.0,45,644880.3,5493525.28
12,32.0,46,645365.86,5493875.54
12,32.0,47,644686.44,5493433.82
12,32.0,48,645455.03,5493908.18
12,32.0,5,644943.13,5493577.58
12,32.0,6,645731.67,5493458.88
12,32.0,7,646665.52,5493495.17
12,32.0,8,645735.95,5493413.64
12,32.0,9,645916.32,5493652.84
13,34.0,0,644830.13,5493572.41
13,34.0,1,646325.06,5493531.24
13,34.0,10,646363.51,5493703.35
13,34.0,11,645225.51,5493493.66
13,34.0,12,644916.24,5493631.16
13,34.0,13,645522.38,5493527.93
13,34.0,14,646000.31,5493656.33
13,34.0,15,646266.78,5493694.21
13,34.0,16,645842.89,5493653.05
13,34.0,17,644853.1,5493492.02
13,34.0,18,645357.18,5494013.14
13,34.0,19,644890.44,5493565.12
13,34.0,2,644810.5,5493577.98
13,34.0,20,646335.51,5493455.72
13,34.0,22,646334.59,5493478.28
13,34.0,24,645391.19,5494007.33
13,34.0,25,646338.94,5493454.55
13,34.0,26,646337.54,5493430.98
13,34.0,27,645416.91,5493827.95
13,34.0,28,646147.05,5493728.65
13,34.0,29,646324.34,5493515.32
13,34.0,3,646327.51,5493515.8
13,34.0,30,645567.98,5493742.19
13,34.0,31,645105.23,5493982.95
